Symbol,Series,Security Name,Band,Remarks
VIKASHMET,BE,Vikash Metal & Power Limited,5,-
VLSFINANCE,EQ,VLS Finance Limited,5,-
VTMLTD,EQ,VTM Limited,5,-
WANBURY,BE,Wanbury Limited,5,-
WEBELSOLAR,EQ,Websol Energy System Limited,5,-
WEIZFOREX,EQ,Weizmann Forex Limited,5,-
WELGLOB,EQ,Welspun Global Brands Limited,5,-
WELINV,EQ,Welspun Investments and Commercials Limited,5,-
WELSPUNIND,BE,Welspun India Limited,5,-
WINSOME,BE,Winsome Yarns Limited,5,-
WSI,BE,W S Industries (I) Limited,5,-
WWIL,EQ,Wire and Wireless (India) Limited,5,-
ZEELEARN,BE,Zee Learn Limited,5,-
ZENITHEXPO,EQ,Zenith Exports Limited,5,-
ACROPETAL,EQ,Acropetal Technologies Limited,10,-
AGRODUTCH,EQ,Agro Dutch Industries Limited,10,-
ALCHEM,EQ,Alchemist Limited,10,-
ALLSEC,EQ,Allsec Technologies Limited,10,-
ALMONDZ,EQ,Almondz Global Securities Limited,10,-
ALPHAGEO,EQ,Alphageo (India) Limited,10,-
ANDHRACEMT,EQ,Andhra Cements Limited,10,-
ANKURDRUGS,EQ,Ankur Drugs And Pharma Limited,10,-
APPAPER,EQ,The Andhra Pradesh Paper Mills Limited,10,-
APTECHT,EQ,Aptech Limited,10,-
ARCHIDPLY,EQ,Archidply Industries Limited,10,-
ARIHANT,EQ,Arihant Foundations & Housing Limited,10,-
ASHCONIUL,EQ,Ashco Niulab Industries Limited,10,-
ASIANELEC,EQ,Asian Electronics Limited,10,-
ASSAMCO,EQ,Assam Company India Limited,10,-
ASTEC,EQ,Astec LifeSciences Limited,10,-
AUSTRAL,EQ,Austral Coke & Projects Limited,10,-
AUTOIND,EQ,Autoline Industries Limited,10,-
AVANTI,EQ,Avanti Feeds Limited,10,-
AVTNPL,EQ,AVT Natural Products Limited,10,-
AXIS-IT&T,EQ,Axis-IT&T Limited,10,-
BAGFILMS,EQ,B.A.G Films and Media Limited,10,-
BELLCERATL,EQ,Bell Ceramics Limited,10,-
BGLOBAL,EQ,Bharatiya Global Infomedia Limited,10,-
BINANIIND,EQ,Binani Industries Limited,10,-
BIRLAMONEY,EQ,Aditya Birla Money Limited,10,-
BSELINFRA,EQ,BSEL Infrastructure Realty Limited,10,-
BSL,EQ,BSL Limited,10,-
CAMBRIDGE,EQ,Cambridge Solutions Limited,10,-
CILNOVA,EQ,CIL Nova Petrochemicals Limited,10,-
CINEVISTA,EQ,Cinevistaas Limited,10,-
CLASSIC,EQ,Classic Diamonds (India) Limited,10,-
CORAL-HUB,EQ,Coral Hub Limited,10,-
CREWBOS,EQ,Crew B.O.S. Products Limited,10,-
CUBEXTUB,EQ,Cubex Tubings Limited,10,-
DECOLIGHT,EQ,Decolight Ceramics Limited,10,-
DEN,EQ,Den Networks Limited,10,-
DPSCLTD,EQ,DPSC Limited,10,-
DUNCANSIND,EQ,Duncans Industries Limited,10,-
DWARKESH,EQ,Dwarikesh Sugar Industries Limited,10,-
EASTSILK,EQ,Eastern Silk Industries Limited,10,-
ECEIND,EQ,ECE Industries Limited,10,-
ELECTHERM,EQ,Electrotherm (India) Limited,10,-
ELFORGE,EQ,EL Forge Limited,10,-
EMAMIINFRA,EQ,Emami Infrastructure Limited,10,-
EMPEESUG,EQ,Empee Sugars and Chemicals Limited,10,-
FOURSOFT,EQ,Four Soft Limited,10,-
FSL,EQ,Firstsource Solutions Limited,10,-
FTCPOF5YDV,EQ,Franklin Templeton Capital Protection Oriented Fund,10,-
FTCPOF5YGR,EQ,Franklin Templeton Capital Protection Oriented Fund,10,-
GAL,EQ,Gyscoal Alloys Limited,10,-
GALLISPAT,EQ,Gallantt Ispat Limited,10,-
GANGOTRI,EQ,Gangotri Textiles Limited,10,-
GATI,EQ,GATI Limited,10,-
GENESYS,EQ,Genesys International Corporation Limited,10,-
GINNIFILA,EQ,Ginni Filaments Limited,10,-
GKWLIMITED,EQ,GKW Limited,10,-
GLFL,EQ,Gujarat Lease Financing Limited,10,-
GLOBALVECT,EQ,Global Vectra Helicorp Limited,10,-
GLODYNE,EQ,Glodyne Technoserve Limited,10,-
GSS,EQ,GSS Infotech Limited,10,-
HBSTOCK,EQ,HB Stockholdings Limited,10,-
HILTON,EQ,Hilton Metal Forging Limited,10,-
HIMATSEIDE,EQ,Himatsingka Seide Limited,10,-
HINDMOTORS,EQ,Hindustan Motors Limited,10,-
HOCL,EQ,Hindustan Organic Chemicals Limited,10,-
IGARASHI,EQ,Igarashi Motors India Limited,10,-
INDOSOLAR,EQ,Indosolar Limited,10,-
INDOTECH,EQ,Indo Tech Transformers Limited,10,-
INDOWIND,EQ,Indowind Energy Limited,10,-
INDTERRAIN,EQ,Indian Terrain Fashions Limited,10,-
INVENTURE,EQ,Inventure Growth & Securities Limited,10,-
JAMNAAUTO,EQ,Jamna Auto Industries Limited,10,-
JAYBARMARU,EQ,Jay Bharat Maruti Limited,10,-
JCTEL,EQ,JCT Electronics Limited,10,-
KAMATHOTEL,EQ,Kamat Hotels (I) Limited,10,-
KECL,EQ,Kirloskar Electric Company Limited,10,-
KERNEX,EQ,Kernex Microsystems (India) Limited,10,-
KESORAMIND,EQ,Kesoram Industries Limited,10,-
KHANDSE,EQ,Khandwala Securities Limited,10,-
KILITCH,EQ,Kilitch Drugs (India) Limited,10,-
KITPLYIND,EQ,Kitply Industries Limited,10,-
KOKUYOCMLN,EQ,Kokuyo Camlin Limited,10,-
KSERASERA,EQ,K Sera Sera Limited,10,-
LOGIXMICRO,EQ,Logix Microsystems Limited,10,-
LPDC,EQ,Landmark Property Development Company Limited,10,-
LYKALABS,EQ,Lyka Labs Limited,10,-
MAANALU,EQ,Maan Aluminium Limited,10,-
MAGNUM,EQ,Magnum Ventures Limited,10,-
MALUPAPER,EQ,Malu Paper Mills Limited,10,-
MANAPPURAM,EQ,Manappuram Finance Limited,10,-
MANGTIMBER,EQ,Mangalam Timber Products Limited,10,-
MARALOVER,EQ,Maral Overseas Limited,10,-
MBSWITCH,EQ,M AND B Switchgears Limited,10,-
MIC,EQ,MIC Electronics Limited,10,-
MMTC,EQ,MMTC Limited,10,-
MOREPENLAB,EQ,Morepen Laboratories Limited,10,-
MOSERBAER,EQ,Moser-Baer (I) Limited,10,-
NAGREEKEXP,EQ,Nagreeka Exports Limited,10,-
NELCO,EQ,NELCO Limited,10,-
NOL,EQ,National Oxygen Limited,10,-
NRC,EQ,NRC Limited,10,-
ORIENTREF,EQ,Orient Refractories Limited,10,-
PARAPRINT,EQ,Paramount Printpackaging Limited,10,-
PDPL,EQ,Parenteral Drugs (India) Limited,10,-
PDUMJEIND,EQ,Pudumjee Industries Limited,10,-
PEARLPOLY,EQ,Pearl Polymers Limited,10,-
PIRLIFE,EQ,Piramal Life Sciences Limited,10,-
PNC,EQ,Pritish Nandy Communications Limited,10,-
PRAKASHCON,EQ,Prakash Constrowell Limited,10,-
PRIMESECU,EQ,Prime Securities Limited,10,-
PRITHVI,EQ,Prithvi Information Solutions Limited,10,-
PUNJABCHEM,EQ,Punjab Chemicals & Crop Protection Limited,10,-
QUINTEGRA,EQ,Quintegra Solutions Limited,10,-
RAMANEWS,EQ,Rama Newsprint and Papers Limited,10,-
RAMCOSYS,EQ,Ramco Systems Limited,10,-
RAMSARUP,EQ,Ramsarup Industries Limited,10,-
RANASUG,EQ,Rana Sugars Limited,10,-
RELMEDIA,EQ,Reliance MediaWorks Limited,10,-
RKDL,EQ,Ravi Kumar Distilleries Limited,10,-
RSYSTEMS,EQ,R Systems International Limited,10,-
RUCHINFRA,EQ,Ruchi Infrastructure Limited,10,-
SAKHTISUG,EQ,Sakthi Sugars Limited,10,-
SALSTEEL,EQ,S.A.L. Steel Limited,10,-
SANGHIIND,EQ,Sanghi Industries Limited,10,-
SERVALL,EQ,Servalakshmi Paper Limited,10,-
SHAHALLOYS,EQ,Shah Alloys Limited,10,-
SHALPAINTS,EQ,Shalimar Paints Limited,10,-
SHRINATRAJ,EQ,Shri Nataraj Ceramic and Chemical Industries Limited,10,-
SKSMICRO,EQ,SKS Microfinance Limited,10,-
SMARTLINK,EQ,Smartlink Network Systems Limited,10,-
SMPL,EQ,Sujana Metal Products Limited,10,-
SPIC,EQ,Southern Petrochemicals Industries Corporation Limited,10,-
SPMLINFRA,EQ,SPML Infra Limited,10,-
STCINDIA,EQ,The State Trading Corporation of India Limited,10,-
STEL,EQ,Stel Holdings Limited,10,-
SUBEX,EQ,Subex Limited,10,-
SUBROS,EQ,Subros Limited,10,-
SURANAIND,EQ,Surana Industries Limited,10,-
TATAMETALI,EQ,Tata Metaliks Limited,10,-
THEBYKE,EQ,The Byke Hospitality Limited,10,-
TWILITAKA,EQ,Twilight Litaka Pharma Limited,10,-
UBHOLDINGS,EQ,United Breweries (Holdings) Limited,10,-
UMESLTD,EQ,Usha Martin Education & Solutions Limited,10,-
UNIPLY,EQ,Uniply Industries Limited,10,-
UNITY,EQ,Unity Infraprojects Limited,10,-
UNIVCABLES,EQ,Universal Cables Limited,10,-
USHERAGRO,EQ,Usher Agro Limited,10,-
UTTAMSUGAR,EQ,Uttam Sugar Mills Limited,10,-
VASWANI,EQ,Vaswani Industries Limited,10,-
VISESHINFO,EQ,Visesh Infotecnics Limited,10,-
WEIZMANIND,EQ,Weizmann Limited,10,-
WELPROJ,EQ,Welspun Projects Limited,10,-
WHEELS,EQ,Wheels India Limited,10,-
XLENERGY,EQ,XL Energy Limited,10,-
ZODJRDMKJ,EQ,Zodiac JRD- MKJ Limited,10,-
20MICRONS,EQ,20 Microns Limited,20,-
3IINFOTECH,EQ,3i Infotech Limited,20,-
3MINDIA,EQ,3M India Limited,20,-
A2ZMES,EQ,A2Z Maintenance & Engineering Services Limited,20,-
AANJANEYA,EQ,Aanjaneya Lifecare Limited,20,-
AARTIDRUGS,EQ,Aarti Drugs Limited,20,-
AARTIIND,EQ,Aarti Industries Limited,20,-
AARVEEDEN,EQ,Aarvee Denims & Exports Limited,20,-
ABBOTINDIA,EQ,Abbott India Limited,20,-
ABCIL,EQ,Aditya Birla Chemicals (India) Limited,20,-
ABHISHEK,EQ,Abhishek Corporation Limited,20,-
ACE,EQ,Action Construction Equipment Limited,20,-
ADFFOODS,EQ,ADF Foods Limited,20,-
ADHUNIK,EQ,Adhunik Metaliks Limited,20,-
ADORWELD,EQ,Ador Welding Limited,20,-
ADSL,EQ,Allied Digital Services Limited,20,-
ADVANTA,EQ,Advanta India Limited,20,-
AEGISCHEM,EQ,Aegis Logistics Limited,20,-
AFL,EQ,Accel Frontline Limited,20,-
